T,P,E,N
42042.18025,12.00576277,648.3111894,2575.236113
26609.01247,8.007527075,664.6247473,1653.554341
1325.677445,4.029414728,48.35297673,5351.062758
27325.98998,32.11044651,72.24850466,2522.676954
17708.25025,30.064941,232.5022104,1370.961309
19834.65632,4.009836516,308.7574117,1391.413271
7776.296974,49.12638257,61.40797821,4916.732122
10696.55725,102.0816653,56.04483587,4937.95036
13422.29513,50.01600512,60.01920615,2068.661972
7148.660394,46.06869965,158.2359684,1223.825021
10710.39696,26.03499634,226.3041989,4662.267037
3544.663968,38.07157456,146.274997,3839.217729
9349.2744,2.012760904,48.3062617,336.131071
782.7081703,0,6.020832079,7365.484577
5883.416359,48.20825968,52.22561466,1534.6296
992.2579871,0,26.00676176,2392.622082
819.008694,12.01479747,18.0221962,1814.234417
3320.216429,196.7535662,196.7535662,1303.492376
2583.366814,12.05303335,371.6351949,5877.862595
4727.412768,204.2338426,1037.187553,13655.63536
3175.460712,84.03865778,68.0312944,4792.204414
2056.17955,8.008488998,16.016978,1039.101448
4887.135217,30.04386404,238.3479881,6175.015523
